0 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.00E+00 4.00E+00 0.00E+00 0.00E+00 0.00E+00
416 4.33E-04 1.64E-06 9.09E-09 1.73E-03 1.38E-01 3.99E+00 4.11E-05 4.01E-04 3.30E-03
832 8.43E-04 1.23E-05 3.57E-08 6.41E-03 1.49E-01 3.99E+00 1.37E-04 1.63E-03 6.84E-03
1248 1.25E-03 3.86E-05 7.92E-08 1.35E-02 1.60E-01 3.98E+00 2.74E-04 3.71E-03 1.06E-02
1664 1.66E-03 8.55E-05 1.40E-07 2.23E-02 1.72E-01 3.97E+00 4.47E-04 6.70E-03 1.47E-02
2080 2.08E-03 1.56E-04 2.17E-07 3.27E-02 1.85E-01 3.96E+00 6.57E-04 1.06E-02 1.90E-02
2496 2.53E-03 2.54E-04 3.13E-07 4.41E-02 1.99E-01 3.96E+00 9.08E-04 1.55E-02 2.37E-02
2912 3.00E-03 3.78E-04 4.28E-07 5.64E-02 2.14E-01 3.95E+00 1.20E-03 2.14E-02 2.87E-02
3328 3.50E-03 5.32E-04 5.63E-07 6.94E-02 2.30E-01 3.94E+00 1.55E-03 2.83E-02 3.41E-02
3744 4.03E-03 7.13E-04 7.20E-07 8.28E-02 2.48E-01 3.93E+00 1.94E-03 3.64E-02 3.98E-02
4160 4.60E-03 9.23E-04 8.99E-07 9.66E-02 2.66E-01 3.93E+00 2.40E-03 4.56E-02 4.59E-02
4576 5.20E-03 1.16E-03 1.10E-06 1.11E-01 2.86E-01 3.92E+00 2.93E-03 5.60E-02 5.25E-02
4992 5.84E-03 1.43E-03 1.33E-06 1.25E-01 3.06E-01 3.91E+00 3.54E-03 6.76E-02 5.95E-02
5408 6.53E-03 1.72E-03 1.59E-06 1.39E-01 3.29E-01 3.90E+00 4.22E-03 8.05E-02 6.71E-02
5824 7.26E-03 2.04E-03 1.88E-06 1.53E-01 3.52E-01 3.89E+00 5.01E-03 9.48E-02 7.51E-02
6240 8.03E-03 2.38E-03 2.19E-06 1.67E-01 3.77E-01 3.88E+00 5.89E-03 1.10E-01 8.37E-02
6656 8.85E-03 2.74E-03 2.54E-06 1.81E-01 4.04E-01 3.87E+00 6.90E-03 1.27E-01 9.29E-02
7072 9.73E-03 3.13E-03 2.93E-06 1.95E-01 4.32E-01 3.87E+00 8.02E-03 1.46E-01 1.03E-01
7488 1.07E-02 3.54E-03 3.35E-06 2.09E-01 4.62E-01 3.86E+00 9.29E-03 1.66E-01 1.13E-01
7904 1.16E-02 3.97E-03 3.82E-06 2.23E-01 4.94E-01 3.85E+00 1.07E-02 1.88E-01 1.24E-01
8320 1.27E-02 4.42E-03 4.32E-06 2.37E-01 5.27E-01 3.84E+00 1.23E-02 2.11E-01 1.36E-01
8736 1.38E-02 4.89E-03 4.87E-06 2.50E-01 5.63E-01 3.83E+00 1.40E-02 2.36E-01 1.49E-01
9152 1.50E-02 5.38E-03 5.47E-06 2.64E-01 6.00E-01 3.82E+00 1.60E-02 2.63E-01 1.63E-01
9568 1.62E-02 5.88E-03 6.12E-06 2.77E-01 6.39E-01 3.81E+00 1.82E-02 2.91E-01 1.77E-01
9984 1.75E-02 6.40E-03 6.82E-06 2.90E-01 6.80E-01 3.79E+00 2.05E-02 3.21E-01 1.92E-01
10400 1.89E-02 6.94E-03 7.58E-06 3.03E-01 7.23E-01 3.78E+00 2.31E-02 3.53E-01 2.09E-01
10816 2.04E-02 7.49E-03 8.40E-06 3.16E-01 7.69E-01 3.77E+00 2.60E-02 3.87E-01 2.26E-01
11232 2.19E-02 8.06E-03 9.28E-06 3.29E-01 8.16E-01 3.76E+00 2.91E-02 4.22E-01 2.44E-01
11648 2.35E-02 8.64E-03 1.02E-05 3.42E-01 8.65E-01 3.75E+00 3.26E-02 4.59E-01 2.64E-01
12064 2.52E-02 9.24E-03 1.12E-05 3.54E-01 9.16E-01 3.73E+00 3.63E-02 4.99E-01 2.84E-01
12480 2.70E-02 9.84E-03 1.23E-05 3.67E-01 9.69E-01 3.72E+00 4.03E-02 5.40E-01 3.06E-01
12896 2.89E-02 1.05E-02 1.35E-05 3.80E-01 1.02E+00 3.71E+00 4.47E-02 5.82E-01 3.29E-01
13312 3.09E-02 1.11E-02 1.47E-05 3.93E-01 1.08E+00 3.69E+00 4.94E-02 6.27E-01 3.53E-01
13728 3.30E-02 1.17E-02 1.61E-05 4.06E-01 1.14E+00 3.68E+00 5.45E-02 6.73E-01 3.78E-01
14144 3.51E-02 1.24E-02 1.75E-05 4.18E-01 1.20E+00 3.66E+00 6.00E-02 7.21E-01 4.05E-01
14560 3.74E-02 1.31E-02 1.90E-05 4.31E-01 1.26E+00 3.65E+00 6.59E-02 7.71E-01 4.33E-01
14976 3.98E-02 1.38E-02 2.06E-05 4.45E-01 1.33E+00 3.63E+00 7.21E-02 8.22E-01 4.63E-01
15392 4.23E-02 1.45E-02 2.23E-05 4.58E-01 1.39E+00 3.62E+00 7.88E-02 8.75E-01 4.94E-01
15808 4.48E-02 1.52E-02 2.41E-05 4.72E-01 1.46E+00 3.60E+00 8.60E-02 9.29E-01 5.26E-01
16224 4.75E-02 1.59E-02 2.60E-05 4.86E-01 1.53E+00 3.58E+00 9.36E-02 9.84E-01 5.60E-01
16640 5.03E-02 1.66E-02 2.81E-05 5.00E-01 1.60E+00 3.57E+00 1.02E-01 1.04E+00 5.96E-01
17056 5.32E-02 1.74E-02 3.02E-05 5.15E-01 1.67E+00 3.55E+00 1.10E-01 1.10E+00 6.33E-01
17472 5.62E-02 1.82E-02 3.25E-05 5.31E-01 1.75E+00 3.53E+00 1.19E-01 1.16E+00 6.71E-01
17888 5.93E-02 1.90E-02 3.49E-05 5.47E-01 1.82E+00 3.51E+00 1.29E-01 1.22E+00 7.11E-01
18304 6.25E-02 1.98E-02 3.74E-05 5.64E-01 1.89E+00 3.49E+00 1.39E-01 1.28E+00 7.53E-01
18720 6.59E-02 2.06E-02 4.01E-05 5.81E-01 1.97E+00 3.47E+00 1.49E-01 1.34E+00 7.97E-01
19136 6.93E-02 2.15E-02 4.29E-05 6.00E-01 2.05E+00 3.45E+00 1.60E-01 1.40E+00 8.42E-01
19552 7.29E-02 2.23E-02 4.58E-05 6.19E-01 2.13E+00 3.43E+00 1.72E-01 1.46E+00 8.88E-01
19968 7.66E-02 2.32E-02 4.90E-05 6.40E-01 2.21E+00 3.41E+00 1.84E-01 1.52E+00 9.37E-01
20384 8.04E-02 2.42E-02 5.22E-05 6.62E-01 2.29E+00 3.39E+00 1.97E-01 1.59E+00 9.87E-01
20800 8.43E-02 2.51E-02 5.56E-05 6.86E-01 2.37E+00 3.37E+00 2.10E-01 1.65E+00 1.04E+00
21216 8.83E-02 2.61E-02 5.92E-05 7.11E-01 2.45E+00 3.35E+00 2.24E-01 1.71E+00 1.09E+00
21632 9.24E-02 2.72E-02 6.30E-05 7.38E-01 2.53E+00 3.32E+00 2.39E-01 1.77E+00 1.15E+00
22048 9.67E-02 2.82E-02 6.69E-05 7.67E-01 2.62E+00 3.30E+00 2.54E-01 1.83E+00 1.20E+00
22464 1.01E-01 2.94E-02 7.10E-05 7.99E-01 2.70E+00 3.28E+00 2.70E-01 1.89E+00 1.26E+00
22880 1.06E-01 3.06E-02 7.53E-05 8.34E-01 2.79E+00 3.25E+00 2.86E-01 1.95E+00 1.32E+00
23296 1.10E-01 3.18E-02 7.98E-05 8.71E-01 2.87E+00 3.23E+00 3.03E-01 2.01E+00 1.39E+00
23712 1.15E-01 3.31E-02 8.45E-05 9.12E-01 2.96E+00 3.21E+00 3.21E-01 2.06E+00 1.45E+00
24128 1.20E-01 3.45E-02 8.93E-05 9.57E-01 3.05E+00 3.18E+00 3.39E-01 2.12E+00 1.52E+00
24544 1.25E-01 3.59E-02 9.44E-05 1.01E+00 3.14E+00 3.16E+00 3.58E-01 2.17E+00 1.58E+00
24960 1.30E-01 3.75E-02 9.97E-05 1.06E+00 3.23E+00 3.13E+00 3.78E-01 2.23E+00 1.65E+00
25376 1.35E-01 3.91E-02 1.05E-04 1.12E+00 3.33E+00 3.10E+00 3.99E-01 2.28E+00 1.72E+00
25792 1.40E-01 4.09E-02 1.11E-04 1.18E+00 3.42E+00 3.08E+00 4.20E-01 2.33E+00 1.80E+00
26208 1.46E-01 4.27E-02 1.17E-04 1.26E+00 3.52E+00 3.05E+00 4.42E-01 2.38E+00 1.87E+00
26624 1.51E-01 4.48E-02 1.23E-04 1.33E+00 3.62E+00 3.02E+00 4.65E-01 2.42E+00 1.95E+00
27040 1.57E-01 4.69E-02 1.29E-04 1.42E+00 3.72E+00 3.00E+00 4.88E-01 2.47E+00 2.03E+00
27456 1.63E-01 4.93E-02 1.36E-04 1.52E+00 3.82E+00 2.97E+00 5.13E-01 2.51E+00 2.11E+00
27872 1.68E-01 5.18E-02 1.43E-04 1.62E+00 3.92E+00 2.94E+00 5.38E-01 2.55E+00 2.19E+00
28288 1.74E-01 5.45E-02 1.50E-04 1.74E+00 4.03E+00 2.91E+00 5.64E-01 2.59E+00 2.28E+00
28704 1.80E-01 5.75E-02 1.57E-04 1.87E+00 4.13E+00 2.88E+00 5.91E-01 2.63E+00 2.37E+00
29120 1.87E-01 6.07E-02 1.65E-04 2.02E+00 4.24E+00 2.86E+00 6.19E-01 2.67E+00 2.45E+00
